id,oai_identifier,oai_datestamp,auth_name,auth_date,auth_activity,auth_occupation,auth_biography,auth_datestamp,nkp_aut_url,cover,ts,harvest_max_eshop,harvest_last_time,viafID
mzk2007401274,oai:aleph-nkp.cz:AUT10-000401274,2012-06-30T22:32:44Z,"Ondráčka, David,",1976-,NULL,NULL,"Narozen 3.2.1976 v Havířově. Politolog, práce z oboru.",20070809143749.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000401274&local_base=AUT,1387070,"2016-03-05 22:55:56",7040,"2016-08-24 00:00:00",84712604
mzk2007417165,oai:aleph-nkp.cz:AUT10-000417165,2012-06-30T22:33:37Z,"Zemek, Václav,",1974-,NULL,NULL,"Narozen 13. 4. 1974 ve Vlašimi. Ing., regionální publicista, autor historických prací o Podblanicku.",20090908115013.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000417165&local_base=AUT,1387070,"2016-03-05 23:07:36",7040,"2016-08-24 00:00:00",84721332
mzk2007417531,oai:aleph-nkp.cz:AUT10-000417531,2012-06-30T22:33:38Z,"Svoboda, Petr,",1974-,NULL,NULL,"Narozen 1974. Mgr., Ph.D., právník, autor prací o správním, ústavním a soukromém právu.",20091009120037.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000417531&local_base=AUT,1387070,"2016-03-05 23:07:57",7040,"2016-08-24 00:00:00",84723905
mzk2007423885,oai:aleph-nkp.cz:AUT10-000423885,2012-06-30T22:34:02Z,"Kubinyi, Jozef,",1955-,NULL,NULL,"Narozen 21. 7. 1955, Dolný Kubín, žije a působí v ČR. Slovenský lékař, neurochirurg, autor prací z oboru.",20090930131624.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000423885&local_base=AUT,1387070,"2016-03-05 23:12:53",7040,"2016-08-24 00:00:00",84726097
mzk2007423976,oai:aleph-nkp.cz:AUT10-000423976,2012-06-30T22:34:02Z,"Petrov, Jan,",1981-,NULL,NULL,"Narozen 1981 v Praze. Mgr., právník, autor prací ze soukromého práva.",20091001080520.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000423976&local_base=AUT,1387070,"2016-03-05 23:12:56",7040,"2016-08-24 00:00:00",84726900
mzk2008430438,oai:aleph-nkp.cz:AUT10-000430438,2014-01-13T07:48:32Z,"Krčál, Petr,",1964-,NULL,NULL,"Narozen 20. 8. 1964 ve Velkém Meziříčí. Mgr. et Bc., politik a sociální pedagog, zabývá se též regionálními dějinami, převážně ve vztahu k druhé světové válce, autor prací o žďárských pilotech v britském Královském letectvu.",20140113084759.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000430438&local_base=AUT,1387070,"2016-03-06 10:20:57",7040,"2016-08-24 00:00:00",80965273
mzk2008442992,oai:aleph-nkp.cz:AUT10-000442992,2012-06-30T22:35:03Z,"Filip, Jaroslav,",1949-,NULL,NULL,"Narozen 19. 1. 1949 v Českých Budějovicích. Absolvent produkce na FAMU, spisovatel, též časopisecká publicistika.",20090728162741.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000442992&local_base=AUT,1387070,"2016-03-05 23:27:01",7040,"2016-08-24 00:00:00",84739771
mzk2008443015,oai:aleph-nkp.cz:AUT10-000443015,2012-06-30T22:35:03Z,"Kotouš, Zdeněk,",1966-,NULL,NULL,"Narozen 1966 ve Dvoře Královém nad Labem. Politik a spisovatel.",20090729102907.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000443015&local_base=AUT,1387070,"2016-03-05 23:27:01",7040,"2016-08-24 00:00:00",84739970
mzk2008443114,oai:aleph-nkp.cz:AUT10-000443114,2012-06-30T22:35:03Z,"Singer, Miroslav,",1968-,NULL,NULL,"Narozen 1968. Ing., Ph.D., ekonom, autor prací z oboru.",20090923110601.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000443114&local_base=AUT,1387070,"2016-03-05 23:27:07",7040,"2016-08-24 00:00:00",18296867
mzk2008469141,oai:aleph-nkp.cz:AUT10-000469141,2012-06-30T22:33:53Z,"Zelenka, Michal,",1948-2011,NULL,NULL,"Narozen r. 1948, zemřel 16. 12. 2011. Mediální konzultant a analytik, prezident Asociace provozovatelů soukromého vysílání, trenér obchodních dovedností, producent, práce z oboru.",20111222122512.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000469141&local_base=AUT,1387070,"2016-03-05 23:11:06",7040,"2016-08-24 00:00:00",84756932
mzk2008486559,oai:aleph-nkp.cz:AUT10-000486559,2012-06-30T22:34:48Z,"Bradík, Pavel,",1950-,NULL,NULL,"Narozen 11.2.1950 ve Zlíně. Ing. ekonomie, spoluator publikace o F. Kupkovi.",20081127114357.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000486559&local_base=AUT,1387070,"2016-03-05 23:23:51",7040,"2016-08-24 00:00:00",84769573
mzk2009491919,oai:aleph-nkp.cz:AUT10-000491919,2012-06-30T22:35:05Z,"Hazdra, Zdeněk,",1983-,NULL,NULL,"Narozen 17.5.1983 v Nymburce. Mgr., historik, práce o českých dějinách 20.století, specializuje se na období protektorátu, protinacistický odboj, též autor scénářů hudebně-literárních pořadů.",20090123145935.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000491919&local_base=AUT,1387070,"2016-03-05 23:27:28",7040,"2016-08-24 00:00:00",86026503
mzk2009495915,oai:aleph-nkp.cz:AUT10-000495915,2012-06-30T22:35:17Z,"Plumlovský, Analus,",1703-1759,NULL,NULL,"Narozen 18.1.1703 v Přerově, zemřel 2.5.1759 v Pastuchově (Maďarsko). Hudební skladatel.",20090205092453.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000495915&local_base=AUT,1387070,"2016-03-05 23:30:26",7040,"2016-08-24 00:00:00",84777601
mzk2009502303,oai:aleph-nkp.cz:AUT10-000502303,2012-06-30T22:33:44Z,"Šmerda, Radek,",1977-,NULL,NULL,"Narozen 14. května 1977 v Brně. JUDr., Ph.D., práce z bezpečnostíno práva.",20090323145951.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000502303&local_base=AUT,1387070,"2016-03-05 23:09:09",7040,"2016-08-24 00:00:00",84782740
mzk2009521946,oai:aleph-nkp.cz:AUT10-000521946,2012-06-30T22:34:49Z,"Kopecký, Miloš,",1922-,NULL,NULL,"Narozen 1922. Klarinetista.",20090724164057.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000521946&local_base=AUT,1387070,"2016-03-05 23:24:07",7040,"2016-08-24 00:00:00",45968031
mzk2009539797,oai:aleph-nkp.cz:AUT10-000539797,2012-06-30T22:35:51Z,"Kunze, Michael,",1943-,NULL,NULL,"Narozen 9.11.1943 v Praze. Libretista a hudební producent, žije v Německu.",20091009153118.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000539797&local_base=AUT,1387070,"2016-03-05 23:37:41",7040,"2016-08-24 00:00:00",161075987
mzk2010575753,oai:aleph-nkp.cz:AUT10-000575753,2012-06-30T22:35:17Z,"Perault, Raimond,",1435-1505,NULL,NULL,"Francouzský kardinál a biskup v Gurku a v Sainets, apoštolský legát.",20101004094713.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000575753&local_base=AUT,1387070,"2016-03-05 23:30:21",7040,"2016-08-24 00:00:00",37257822
mzk2010585916,oai:aleph-nkp.cz:AUT10-000585916,2015-05-07T00:06:05Z,"Doležal, Karel,","činný 19. století",NULL,NULL,"Hudebník, opisovač hudebnin.",20100831081948.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000585916&local_base=AUT,1387070,"2016-03-06 11:09:51",7040,"2016-08-24 00:00:00",127164603
mzk2012684708,oai:aleph-nkp.cz:AUT10-000684708,2012-06-30T22:37:39Z,"Oberfalzer, Jiří,",1954-,NULL,NULL,"Narozen 17. 1. 1954 v Karlových Varech. Geofyzik, též politik. V 80. letech 20. stol. člen Malého českého divadla v Praze.",20120223083629.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000684708&local_base=AUT,1387070,"2016-03-05 23:54:44",7040,"2016-08-24 00:00:00",232364301
mzk2012707644,oai:aleph-nkp.cz:AUT10-000707644,2014-12-20T09:13:05Z,"Krügner, Ignaz Sales,",1781-1842,NULL,NULL,"Narozen 26. června 1781 v Mikulově, zemřel 5. listopadu 1842 v Oseku. Cisterciácký mnich, profesor církevních ději a kanonického práva, od roku 1801 působil v Oseku, kde byl roku 1835 jmenován opatem.",20120703075658.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000707644&local_base=AUT,1387070,"2016-03-06 10:50:01",7040,"2016-08-24 00:00:00",220540582
mzk2012725060,oai:aleph-nkp.cz:AUT10-000725060,2012-10-10T08:18:36Z,"Sarris, Andrew,",1928-2012,NULL,NULL,"Americký filmový kritik, zaměřený na teorii kritiky.",20121010101737.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000725060&local_base=AUT,1387070,"2016-03-06 00:07:34",7040,"2016-08-24 00:00:00",79132061
mzk2013755710,oai:aleph-nkp.cz:AUT10-000755710,2013-04-17T09:23:44Z,"Ibl, Petr,",1954-,NULL,NULL,"Narozen 16. 5. 1954 v Brně. JUDr., Ph.D., právník, též vysokoškolský pedagog a politik. V letech 1990-1991 působil jako ředitel věznice v Praze, v roce 2002 byl zvolen do poslanecké sněmovny za ČSSD.",20130417112327.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000755710&local_base=AUT,1387070,"2016-03-06 10:02:37",7040,"2016-08-24 00:00:00",300154397
