id,oai_identifier,oai_datestamp,auth_name,auth_date,auth_activity,auth_occupation,auth_biography,auth_datestamp,nkp_aut_url,cover,ts,harvest_max_eshop,harvest_last_time,viafID
xx0073711,oai:aleph-nkp.cz:AUT10-000439106,2013-04-30T05:40:23Z,"Friedrichová, Helena,",1955-2002,NULL,NULL,"Narozena 19. 6. 1955 v Praze, zemřela 4. 2. 2002 tamtéž. Česká divadelní herečka.",20130430073943.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000439106&local_base=AUT,1387079,"2016-03-06 10:03:19",7040,"2016-08-24 22:36:36",85781098
xx0078312,oai:aleph-nkp.cz:AUT10-000452908,2013-05-07T10:14:16Z,"Brennan, Kathleen",NULL,NULL,NULL,"Americká hudebnice, hudební producentka, skladatelka a malířka, manželka hudebníka Toma Waitse.",20130507121251.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000452908&local_base=AUT,1387079,"2016-03-06 10:03:40",7040,"2016-08-24 15:55:21",94989290
xx0078929,oai:aleph-nkp.cz:AUT10-000454577,2012-06-30T22:33:02Z,"Petrů, Jana,",1938-1990,NULL,NULL,"Narozena 14. 7. 1938 v Praze, zemřela 6. 5. 1990. Zpěvačka (swing, jazz, pop) působící v 60. letech 20. století. Na začátku 70. let odchází z hudební scény.",20100615122512.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000454577&local_base=AUT,1387079,"2016-03-05 22:59:52",7040,"2016-08-24 16:14:42",85820104
xx0078986,oai:aleph-nkp.cz:AUT10-000454712,2012-06-30T22:33:03Z,"Pleštilová, Miroslava,",1966-,NULL,NULL,"Narozena 27. 1. 1966. Herečka.",20090403085238.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000454712&local_base=AUT,1387079,"2016-03-05 22:59:57",7040,"2016-08-24 16:15:54",85820492
xx0082867,oai:aleph-nkp.cz:AUT10-000471395,2012-06-30T22:34:01Z,"Sehnalová, Olga,",1941-,NULL,NULL,"Narozena 1941. Inženýrka agronomie. Komunální politička, poslankyně PSP ČR v letech 1996-2002.",20080902165433.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000471395&local_base=AUT,1387079,"2016-03-05 23:12:41",7040,"2016-08-24 23:20:08",85847523
xx0087922,oai:aleph-nkp.cz:AUT10-000491324,2012-06-30T22:35:03Z,"Ďurovičová-Kovářová, Marie,",1927-,NULL,NULL,"Narozena 11. 5. 1927 v Lulči u Vyškova. Sportovní gymnastka. Držitelka zlaté medaile z OH 1948 v Londýně.",20090306123449.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000491324&local_base=AUT,1387079,"2016-03-05 23:27:01",7040,"2016-08-25 06:10:14",85885288
xx0087992,oai:aleph-nkp.cz:AUT10-000491393,2015-07-21T00:01:21Z,"Misáková, Miloslava,",1922-2015,"sportovní gymnastika",trenérky,"Narozena 25. 2. 1922 v Horákově (nyní Mokrá-Horákov), zemřela 1. 7. 2015. Sportovní gymnastka, trenérka.",20150720100816.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000491393&local_base=AUT,1387079,"2016-03-06 11:17:11",7040,"2016-08-25 06:11:43",85885827
xx0093670,oai:aleph-nkp.cz:AUT10-000506661,2012-06-30T22:33:59Z,"Svobodová, Alena,",1948-,NULL,NULL,"Narozena 11.5.1948 v Přehýšově. Autorka básní pro děti, původní profesí asistentka hygienické služby.",20100429091718.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000506661&local_base=AUT,1387079,"2016-03-05 23:12:18",7040,"2016-08-24 16:52:53",85927230
xx0094978,oai:aleph-nkp.cz:AUT10-000514089,2012-08-16T09:42:05Z,"Schmiedbergerová, Renata",NULL,NULL,NULL,"MUDr., primářka Dermatovenerologické kliniky 2. LF UK a FN Na Bulovce (její přednostka v letech 1999-2004). Publikuje v oboru.",20120816114114.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000514089&local_base=AUT,1387079,"2016-03-06 00:03:50",7040,"2016-08-24 17:29:28",86424424
xx0095078,oai:aleph-nkp.cz:AUT10-000514607,2012-06-30T22:34:27Z,"Thielová, Valentina,",1933-,NULL,NULL,"Narozena 12. března 1933 v Praze. Herečka.",20110505075347.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000514607&local_base=AUT,1387079,"2016-03-05 23:18:43",7040,"2016-08-24 17:32:00",86425010
